login,name,company,location,email,hireable,bio,public_repos,followers,following,created_at
tarsius,,,,,False,,0,0,0,
aalmiray,,,,,False,,0,0,0,
marcoroth,,,,,False,,0,0,0,
klmr,,,,,False,,0,0,0,
MrNeRF,,,,,False,,0,0,0,
dpryan79,,,,,False,,0,0,0,
ParthS007,,,,,False,,0,0,0,
quantumjim,,,,,False,,0,0,0,
odan,,,,,False,,0,0,0,
JuergenGutsch,,,,,False,,0,0,0,
v7b1,,,,,False,,0,0,0,
a-r-j,,,,,False,,0,0,0,
fzenke,,,,,False,,0,0,0,
eleanor-em,,,,,False,,0,0,0,
dengemann,,,,,False,,0,0,0,
imagejan,,,,,False,,0,0,0,
charnley,,,,,False,,0,0,0,
rneher,,,,,False,,0,0,0,
syzer,,,,,False,,0,0,0,
jkarni,,,,,False,,0,0,0,
maehr,,,,,False,,0,0,0,
galderz,,,,,False,,0,0,0,
wasserth,,,,,False,,0,0,0,
ahankinson,,,,,False,,0,0,0,
underdoeg,,,,,False,,0,0,0,
maysam,,,,,False,,0,0,0,
yperbasis,,,,,False,,0,0,0,
alexarnimueller,,,,,False,,0,0,0,
MaxGfeller,,,,,False,,0,0,0,
andersx,,,,,False,,0,0,0,
neocorp,,,,,False,,0,0,0,
raducotescu,,,,,False,,0,0,0,
bar9,,,,,False,,0,0,0,
undeadpixel,,,,,False,,0,0,0,
marcantondahmen,,,,,False,,0,0,0,
ravage84,,,,,False,,0,0,0,
gabrielwalt,,,,,False,,0,0,0,
elanmart,,,,,False,,0,0,0,
JeyDi,,,,,False,,0,0,0,
tbreuss,,,,,False,,0,0,0,
Phlya,,,,,False,,0,0,0,
eyenx,,,,,False,,0,0,0,
ioolkos,,,,,False,,0,0,0,
dergraf,,,,,False,,0,0,0,
quadbiolab,,,,,False,,0,0,0,
Accio,,,,,False,,0,0,0,
ftiff,,,,,False,,0,0,0,
atenagm1375,,,,,False,,0,0,0,
danvet,,,,,False,,0,0,0,
daminetreg,,,,,False,,0,0,0,
pvillega,,,,,False,,0,0,0,
larshesel,,,,,False,,0,0,0,
siers,,,,,False,,0,0,0,
shernshiou,,,,,False,,0,0,0,
jv-k,,,,,False,,0,0,0,
neherlab,,,,,False,,0,0,0,
cbg-ethz,,,,,False,,0,0,0,
nbara,,,,,False,,0,0,0,
uniqueg,,,,,False,,0,0,0,
